[Gene ID]	[source_id]	[Product Description]	[Curated GO Functions]	[Computed GO Functions]	[Evidence Code]	[Computed GO Function IDs]	[Curated GO Function IDs]	[Computed GO Component IDs]	[Computed GO Components]	[Computed GO Process IDs]	[Computed GO Processes]	[Curated GO Component IDs]	[Curated GO Components]	[Curated GO Process IDs]	[Curated GO Processes]	
Tb927.1.290	Tb927.1.290:mRNA	leucine-rich repeat protein (LRRP), putative	N/A	protein binding	EXP, IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.1.2980	Tb927.1.2980:mRNA	hypothetical protein, conserved	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.2990	Tb927.1.2990:mRNA	PPR repeat family, putative	N/A	N/A	EXP, RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737, GO:0005739	cytoplasm, mitochondrion	N/A	N/A	
Tb927.1.300	Tb927.1.300:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	N/A	metal ion binding	IEA	GO:0046872	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3000	Tb927.1.3000:mRNA	amidohydrolase, putative	hydrolase activity	hydrolase activity	IEA, ISA	GO:0016787	GO:0016787	N/A	N/A	GO:0008152	metabolic process	N/A	N/A	GO:0006508	proteolysis	
Tb927.1.3010	Tb927.1.3010:mRNA	mRNA processing protein, putative	mRNA binding	N/A	EXP, IC, RCA	N/A	GO:0003729	N/A	N/A	N/A	N/A	GO:0020023, GO:0031019	kinetoplast, mitochondrial mRNA editing complex	GO:0090615	mitochondrial mRNA processing	
Tb927.1.3030	Tb927.1.3030:mRNA	KREL2	RNA ligase (ATP) activity	ATP binding, RNA ligase (ATP) activity	IDA, IEA, RCA, TAS	GO:0005524, GO:0003972	GO:0003972	N/A	N/A	N/A	N/A	GO:0031019	mitochondrial mRNA editing complex	GO:0016556	mRNA modification	
Tb927.1.3040	Tb927.1.3040:mRNA	hypothetical protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.1.3050	Tb927.1.3050:mRNA	tRNA (Uracil-5-)-methyltransferase, putative	N/A	RNA methyltransferase activity	IEA	GO:0008173	N/A	N/A	N/A	GO:0006396	RNA processing	N/A	N/A	N/A	N/A	
Tb927.1.3070	Tb927.1.3070:mRNA	hypothetical protein, conserved	mRNA binding	N/A	IDA	N/A	GO:0003729	N/A	N/A	N/A	N/A	N/A	N/A	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.1.3110	Tb927.1.3110:mRNA	soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative	soluble NSF attachment protein activity	N/A	EXP, ISA, ISM	N/A	GO:0005483	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	GO:0006886	intracellular protein transport	
Tb927.1.3120	Tb927.1.3120:mRNA	Peptidase C50 separase, putative	cysteine-type endopeptidase activity	peptidase activity	IEA, ISA	GO:0008233	GO:0004197	GO:0005634	nucleus	GO:0006508	proteolysis	N/A	N/A	N/A	N/A	
Tb927.1.3130	Tb927.1.3130:mRNA	protein kinase, putative	protein kinase activity	ATP binding, protein kinase activity	IEA, ISA	GO:0005524, GO:0004672	GO:0004672	N/A	N/A	GO:0006468	protein phosphorylation	N/A	N/A	GO:0006468	protein phosphorylation	
Tb927.1.3170	Tb927.1.3170:mRNA	CHORD, putative	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0097014, GO:0005654	ciliary cytoplasm, nucleoplasm	N/A	N/A	
Tb927.1.3180	Tb927.1.3180:mRNA	40S ribosomal protein S11, putative	N/A	structural constituent of ribosome	EXP, IDA, IEA, ISA	GO:0003735	N/A	GO:0005840	ribosome	GO:0006412	translation	GO:0005737, GO:0005840	cytoplasm, ribosome	GO:0006412	translation	
Tb927.1.3200	Tb927.1.3200:mRNA	Suppressor of G2 allele of SKP1, putative	N/A	N/A	ISA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0000151	ubiquitin ligase complex	N/A	N/A	
Tb927.1.3220	Tb927.1.3220:mRNA	TBC1 domain family member 20/GTPase, putative	N/A	GTPase activator activity	IEA	GO:0005096	N/A	N/A	N/A	GO:0043087	regulation of GTPase activity	N/A	N/A	N/A	N/A	
Tb927.1.3230	Tb927.1.3230:mRNA	cell division cycle protein, putative	ATP binding	ATP binding	EXP, IEA, ISA	GO:0005524	GO:0005524	N/A	N/A	N/A	N/A	GO:0005643	nuclear pore	N/A	N/A	
Tb927.1.3260	Tb927.1.3260:mRNA	hypothetical protein, conserved	N/A	binding	IEA	GO:0005488	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3280	Tb927.1.3280:mRNA	septum formation protein MAF homologue, putative	N/A	N/A	IEA	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3290	Tb927.1.3290:mRNA	hypothetical protein, conserved	N/A	binding	IEA	GO:0005488	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3300	Tb927.1.3300:mRNA	Myotubularin-related protein, putative	N/A	metal ion binding, phosphatase activity	IEA, IMP	GO:0046872, GO:0016791	N/A	N/A	N/A	GO:0016311	dephosphorylation	N/A	N/A	N/A	N/A	
Tb927.1.3310	Tb927.1.3310:mRNA	hypothetical protein, conserved	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0030863	cortical cytoskeleton	N/A	N/A	
Tb927.1.3400	Tb927.1.3400:mRNA	hypothetical protein, conserved	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3450	Tb927.1.3450:mRNA	hypothetical protein, conserved	N/A	N/A	EXP, IDA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3560	Tb927.1.3560:mRNA	Centrosomal protein of 164 kDa, putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3670	Tb927.1.3670:mRNA	expression site-associated gene 8 (ESAG8) protein, putative	N/A	protein binding, zinc ion binding	IEA	GO:0005515, GO:0008270	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.370	Tb927.1.370.1:mRNA	leucine-rich repeat protein (LRRP), putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.370	Tb927.1.370.2:mRNA	leucine-rich repeat protein (LRRP), putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3800	Tb927.1.3800:mRNA	Present in the outer mitochondrial membrane proteome 18	N/A	N/A	IDA, IEA, RCA	N/A	N/A	N/A	N/A	GO:0006979	response to oxidative stress	GO:0005741	mitochondrial outer membrane	N/A	N/A	
Tb927.1.3820	Tb927.1.3820:mRNA	ATP synthase subunit, putative	proton-transporting ATPase activity, rotational mechanism	proton-transporting ATPase activity, rotational mechanism	IEA, ISA	GO:0046961	GO:0046961	GO:0033180	proton-transporting V-type ATPase, V1 domain	GO:0015991	ATP hydrolysis coupled proton transport	N/A	N/A	GO:0015991	ATP hydrolysis coupled proton transport	
Tb927.1.3830	Tb927.1.3830:mRNA	glucose-6-phosphate isomerase, glycosomal	glucose-6-phosphate isomerase activity	glucose-6-phosphate isomerase activity	IDA, IEA, TAS	GO:0004347	GO:0004347	N/A	N/A	GO:0006094, GO:0006096	gluconeogenesis, glycolytic process	GO:0020015	glycosome	GO:0006094, GO:0006096	gluconeogenesis, glycolytic process	
Tb927.1.3850	Tb927.1.3850:mRNA	Sec61beta family, putative	N/A	N/A	IDA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.1.3860	Tb927.1.3860:mRNA	hypothetical protein, conserved	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3910	Tb927.1.3910:mRNA	TPR repeat, putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.3950	Tb927.1.3950:mRNA	alanine aminotransferase	L-alanine:2-oxoglutarate aminotransferase activity	pyridoxal phosphate binding	EXP, IDA, IEA, IMP	GO:0030170	GO:0004021	N/A	N/A	GO:0009058	biosynthetic process	GO:0097014, GO:0005829	ciliary cytoplasm, cytosol	GO:0006524, GO:0006560	alanine catabolic process, proline metabolic process	
Tb927.1.4010	Tb927.1.4010:mRNA	primase 2	DNA primase activity, hydrolase activity	hydrolase activity, acting on acid anhydrides	IDA, IEA	GO:0016817	GO:0003896, GO:0016787	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	GO:0006260	DNA replication	
Tb927.1.4020	Tb927.1.4020:mRNA	hypothetical protein	N/A	N/A	EXP, IDA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0097014, GO:0031981	ciliary cytoplasm, nuclear lumen	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.1.4050	Tb927.1.4050:mRNA	ser/thr protein phosphatase, putative	protein serine/threonine phosphatase activity	hydrolase activity	EXP, IEA, ISA	GO:0016787	GO:0004722	N/A	N/A	N/A	N/A	GO:0005737, GO:0005654, GO:0008287	cytoplasm, nucleoplasm, protein serine/threonine phosphatase complex	GO:0006470	protein dephosphorylation	
Tb927.1.4100	Tb927.1.4100:mRNA	cytochrome oxidase subunit IV	cytochrome-c oxidase activity	N/A	IDA, ISM, ISO, TAS	N/A	GO:0004129	N/A	N/A	N/A	N/A	GO:0005751	mitochondrial respiratory chain complex IV	GO:0055114	oxidation-reduction process	
Tb927.1.4140	Tb927.1.4140:mRNA	Bardet-Biedl syndrome 5 protein	N/A	N/A	IDA, IMP, IPI	N/A	N/A	N/A	N/A	N/A	N/A	GO:0034464, GO:0020018, GO:0030665	BBSome, ciliary pocket membrane, clathrin-coated vesicle membrane	GO:0042384, GO:0060285, GO:0033572	cilium assembly, cilium-dependent cell motility, transferrin transport	
Tb927.1.4160	Tb927.1.4160:mRNA	hypothetical protein, conserved	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.1.420	Tb927.1.420:mRNA	retrotransposon hot spot protein 5 (RHS5), putative	N/A	N/A	IDA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	
Tb927.1.4220	Tb927.1.4220.1:mRNA	Ydr279p protein family (RNase H2 complex component), putative	N/A	N/A	IEA	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.4220	Tb927.1.4220.2:mRNA	Ydr279p protein family (RNase H2 complex component), putative	N/A	N/A	IEA	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.4230	Tb927.1.4230:mRNA	hypothetical protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.1.4280	Tb927.1.4280:mRNA	hypothetical protein, conserved	N/A	protein binding	IDA, IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.1.4300	Tb927.1.4300:mRNA	chaperone protein DnaJ, putative	unfolded protein binding	protein binding, zinc ion binding	EXP, IEA, ISM	GO:0005515, GO:0008270	GO:0051082	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	GO:0006457	protein folding	
Tb927.1.4310	Tb927.1.4310:mRNA	Flagellum attachment zone protein 2	protein binding	N/A	IDA, IPI	N/A	GO:0005515	N/A	N/A	N/A	N/A	GO:0043234	protein complex	N/A	N/A	
Tb927.1.4420	Tb927.1.4420:mRNA	ABC transporter, putative	ATPase activity, coupled to transmembrane movement of substances	ATP binding, ATPase activity	EXP, IDA, IEA, ISA	GO:0005524, GO:0016887	GO:0042626	N/A	N/A	N/A	N/A	GO:0043190, GO:0005783, GO:0005741	ATP-binding cassette (ABC) transporter complex, endoplasmic reticulum, mitochondrial outer membrane	N/A	N/A	
Tb927.1.4450	Tb927.1.4450:mRNA	calcium-activated potassium channel, putative	N/A	calcium-activated potassium channel activity	IC, IEA	GO:0015269	N/A	GO:0016020	membrane	GO:0006813	potassium ion transport	GO:0005886	plasma membrane	N/A	N/A	
Tb927.1.4470	Tb927.1.4470:mRNA	hypothetical protein, conserved	N/A	N/A	EXP, IDA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0036064, GO:0035869	ciliary basal body, ciliary transition zone	N/A	N/A	
Tb927.1.4480	Tb927.1.4480:mRNA	WD repeat and HMG-box DNA-binding protein, putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.4490	Tb927.1.4490:mRNA	acetyltransferase, putative	palmitoyl-CoA oxidase activity	N-acetyltransferase activity	IDA, IEA, ISM	GO:0008080	GO:0016401	N/A	N/A	N/A	N/A	GO:0020015	glycosome	N/A	N/A	
Tb927.1.4500	Tb927.1.4500:mRNA	SNARE associated Golgi protein, putative	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0097014, GO:0005654	ciliary cytoplasm, nucleoplasm	N/A	N/A	
Tb927.1.4520	Tb927.1.4520:mRNA	Zinc finger, C3HC4 type (RING finger), putative	N/A	protein binding, zinc ion binding	IEA	GO:0005515, GO:0008270	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.4540	Tb927.1.4540:mRNA	cyclin-like F-box protein 1A	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.4560	Tb927.1.4560:mRNA	cyclin-like F-box protein 1B	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.4580	Tb927.1.4580:mRNA	cyclin-like F-box protein 1C	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.4600	Tb927.1.4600:mRNA	cyclin-like F-box protein 1D	N/A	protein binding	EXP, IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.4630	Tb927.1.4630:mRNA	cyclin-like F-box protein 1E	N/A	protein binding	EXP, IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.4650	Tb927.1.4650:mRNA	cyclin-like F-box protein 2	mRNA binding	protein binding	EXP, IDA, IEA, IMP	GO:0005515	GO:0003729	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	GO:0044782, GO:0006264, GO:1902412	cilium organization, mitochondrial DNA replication, regulation of mitotic cytokinesis	
Tb927.1.4680	Tb927.1.4680:mRNA	Kinetochore interacting protein 6	N/A	N/A	IDA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0000776	kinetochore	N/A	N/A	
Tb927.1.4690	Tb927.1.4690:mRNA	arginine N-methyltransferase	protein-arginine N-methyltransferase activity	methyltransferase activity	EXP, IDA, IEA, ISA	GO:0008168	GO:0016274	N/A	N/A	GO:0006479	protein methylation	GO:0005737	cytoplasm	GO:0019919	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine	
Tb927.1.470	Tb927.1.470:mRNA	Protein of unknown function (DUF1181), putative	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.4700	Tb927.1.4700:mRNA	hypothetical protein, conserved	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.4710	Tb927.1.4710:mRNA	hypothetical protein, conserved	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.4720	Tb927.1.4720:mRNA	SET domain containing protein, putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.4730	Tb927.1.4730:mRNA	Ribonuclease H2 non-catalytic subunit (Ylr154p-like), putative	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005654	nucleoplasm	N/A	N/A	
Tb927.1.4740	Tb927.1.4740:mRNA	FAM91 N-terminus/FAM91 C-terminus, putative	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.4760	Tb927.1.4760:mRNA	Vacuolar sorting protein 39 domain 1/Vacuolar sorting protein 39 domain 2, putative	N/A	GTPase regulator activity	EXP, IEA	GO:0030695	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.4780	Tb927.1.4780:mRNA	Alpha/beta hydrolase domain-containing protein	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.480	Tb927.1.480:mRNA	leucine-rich repeat protein (LRRP), putative	N/A	protein binding	EXP, IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.4810	Tb927.1.4810:pseudogenic_transcript	hypothetical protein, conserved (pseudogene)	N/A	RNA binding, RNA methyltransferase activity	IEA	GO:0003723, GO:0008173	N/A	N/A	N/A	GO:0006396	RNA processing	N/A	N/A	N/A	N/A	
Tb927.1.4830	Tb927.1.4830:mRNA	phospholipase A1	phosphatidylcholine 1-acylhydrolase activity	N/A	EXP, IMP	N/A	GO:0008970	N/A	N/A	N/A	N/A	GO:0097014, GO:0005654	ciliary cytoplasm, nucleoplasm	GO:0006657	CDP-choline pathway	
Tb927.1.4870	Tb927.1.4870:mRNA	expression site-associated gene 1 (ESAG1) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.4890	Tb927.1.4890:mRNA	expression site-associated gene 2 (ESAG2) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.490	Tb927.1.490:mRNA	hypothetical protein	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.4900	Tb927.1.4900:mRNA	expression site-associated gene 11 (ESAG11) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.4910	Tb927.1.4910:mRNA	expression site-associated gene 1 (ESAG1) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.4970	Tb927.1.4970:mRNA	hypothetical protein	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.1.500	Tb927.1.500:pseudogenic_transcript	retrotransposon hot spot protein (RHS, pseudogene), putative	N/A	RNA-DNA hybrid ribonuclease activity, metal ion binding, nucleic acid binding	IEA	GO:0004523, GO:0046872, GO:0003676	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.5000	Tb927.1.5000:mRNA	hypothetical protein, conserved	N/A	N/A	IDA, RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.1.5030	Tb927.1.5030:mRNA	leucine-rich repeat protein (LRRP), putative	N/A	protein binding	EXP, IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.1.5080	Tb927.1.5080:mRNA	expression site-associated gene 9 (ESAG9) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.5100	Tb927.1.5100:mRNA	expression site-associated gene 2 (ESAG2) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.5110	Tb927.1.5110:mRNA	expression site-associated gene 11 (ESAG11) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.5120	Tb927.1.5120:mRNA	expression site-associated gene 1 (ESAG1) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.5170	Tb927.1.5170:mRNA	variant surface glycoprotein (VSG)-related, putative	host cell surface receptor binding	N/A	TAS	N/A	GO:0046789	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0020033	antigenic variation	
Tb927.1.5200	Tb927.1.5200:mRNA	expression site-associated gene 1 (ESAG1) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.5220	Tb927.1.5220:mRNA	expression site-associated gene 9 (ESAG9) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.5240	Tb927.1.5240:mRNA	expression site-associated gene 1 (ESAG1) protein, putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	
Tb927.1.5300	Tb927.1.5300:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0020033	antigenic variation	
Tb927.1.5320	Tb927.1.5320:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb927.1.5330	Tb927.1.5330:mRNA	variant surface glycoprotein (VSG, atypical), putative	N/A	N/A	TAS	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0020033	antigenic variation	
Tb927.1.540	Tb927.1.540:mRNA	DNA-directed RNA polymerase III, putative	DNA-directed RNA polymerase activity	DNA binding, DNA-directed RNA polymerase activity	IEA, ISA	GO:0003677, GO:0003899	GO:0003899	N/A	N/A	GO:0006351	transcription, DNA-templated	GO:0005666	DNA-directed RNA polymerase III complex	GO:0006383	transcription from RNA polymerase III promoter	
Tb927.1.560	Tb927.1.560:mRNA	WD domain, G-beta repeat, putative	N/A	protein binding	EXP, IDA, IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.1.570	Tb927.1.570:mRNA	Histone-lysine N-methyltransferase, H3 lysine-76 specific	histone-lysine N-methyltransferase activity	histone-lysine N-methyltransferase activity	EXP, IDA, IEA, IMP	GO:0018024	GO:0018024	N/A	N/A	N/A	N/A	GO:0031981	nuclear lumen	GO:0020033, GO:0051726	antigenic variation, regulation of cell cycle	
Tb927.1.580	Tb927.1.580:mRNA	phosphate-repressible phosphate permease, putative	phosphate ion transmembrane transporter activity	inorganic phosphate transmembrane transporter activity	IEA, ISA	GO:0005315	GO:0015114	GO:0016020	membrane	GO:0006817	phosphate ion transport	N/A	N/A	N/A	N/A	
Tb927.1.60	Tb927.1.60:pseudogenic_transcript	RNA polymerase (pseudogene), putative	N/A	DNA binding, DNA-directed RNA polymerase activity	IEA	GO:0003677, GO:0003899	N/A	N/A	N/A	GO:0006351	transcription, DNA-templated	N/A	N/A	N/A	N/A	
Tb927.1.600	Tb927.1.600:mRNA	phosphate-repressible phosphate permease, putative	phosphate ion transmembrane transporter activity	inorganic phosphate transmembrane transporter activity	IEA, ISA	GO:0005315	GO:0015114	GO:0016020	membrane	GO:0006817	phosphate ion transport	N/A	N/A	N/A	N/A	
Tb927.1.630	Tb927.1.630:mRNA	histone chaperone ASF1A	chromatin binding, histone binding	N/A	EXP, IDA, IEA, IMP, IPI, ISA	N/A	GO:0003682, GO:0042393	GO:0005634	nucleus	GO:0006333	chromatin assembly or disassembly	GO:0005829, GO:0031981, GO:0005634	cytosol, nuclear lumen, nucleus	GO:0031936	negative regulation of chromatin silencing	
Tb927.1.640	Tb927.1.640:mRNA	BRCA2	damaged DNA binding	N/A	EXP, IDA, IEA	N/A	GO:0003684	N/A	N/A	GO:0000724	double-strand break repair via homologous recombination	GO:0005654, GO:0005634	nucleoplasm, nucleus	GO:0020033	antigenic variation	
Tb927.1.650	Tb927.1.650:mRNA	conserved protein, unknown function	N/A	N/A	EXP, IDA, ISM	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005654	nucleoplasm	GO:0006325	chromatin organization	
Tb927.1.670	Tb927.1.670:mRNA	conserved protein, unknown function	N/A	N/A	EXP, IDA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.1.70	Tb927.1.70:mRNA	retrotransposon hot spot protein 4 (RHS4), putative	N/A	N/A	IDA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	
Tb927.1.700	Tb927.1.700:mRNA	phosphoglycerate kinase	phosphoglycerate kinase activity	phosphoglycerate kinase activity	IDA, IEA, TAS	GO:0004618	GO:0004618	N/A	N/A	GO:0006096	glycolytic process	GO:0020015	glycosome	GO:0006096	glycolytic process	
Tb927.1.710	Tb927.1.710:mRNA	phosphoglycerate kinase	phosphoglycerate kinase activity	phosphoglycerate kinase activity	EXP, IEA, TAS	GO:0004618	GO:0004618	N/A	N/A	GO:0006096	glycolytic process	GO:0097014, GO:0005737	ciliary cytoplasm, cytoplasm	GO:0006096	glycolytic process	
Tb927.1.720	Tb927.1.720:mRNA	phosphoglycerate kinase	phosphoglycerate kinase activity	phosphoglycerate kinase activity	EXP, IDA, IEA, TAS	GO:0004618	GO:0004618	N/A	N/A	GO:0006096	glycolytic process	GO:0020015	glycosome	GO:0006096	glycolytic process	
Tb927.1.730	Tb927.1.730:mRNA	NADH-ubiquinone oxidoreductase complex I subunit, putative	N/A	N/A	IDA, ISM, RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005747	mitochondrial respiratory chain complex I	N/A	N/A	
Tb927.1.740	Tb927.1.740:mRNA	phosphatidylinositol-4-phosphate 5-kinase related	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.1.760	Tb927.1.760:mRNA	wd40 repeat domain-containing protein	N/A	protein binding	EXP, IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	GO:0036064	ciliary basal body	N/A	N/A	
Tb927.1.790	Tb927.1.790:mRNA	hypothetical transmembrane protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.1.800	Tb927.1.800:mRNA	hypothetical transmembrane protein	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0097014, GO:0031981	ciliary cytoplasm, nuclear lumen	N/A	N/A	
